Артикул;Наименование;Описание продукта;Категория;Цена;Акционная цена;Валюта;Акционный товар;На складе;В упаковке;Единица измерения;Гендер;Зодиак;Животинка;VIP тираж;Коллекция;Персонаж;Фотографии;Производитель;Страна;Родитель;Группа дочернего товара;Сопутствующие товары;SKU;КатегорияA;подкатА;КатегорияB;подкатВ;КатегорияС;подкатС;FOB;NEW_RTL_BASE;NEW_RTL_DISCOUNT;BARCODE;SPECS
#1297;Ручка «Кулинарный урок»;Ручка с оригинальными собачками от Генри Кэтс;Рабочее место:ручки и карандаши;181;0;Рубли;0;0;1;шт.;;;Котики;;Кулинарный урок;;"1297_1.jpg;1297_2.jpg;1297_3.jpg";Henry Cats and Friends;;;;;SRP2A-9;Рабочее место:;ручки и карандаши;;;;;0.6;2.79;2.79;4.71218E+12;L 12.7 x Dia 1.1cm
#1300;Косметичка «День в парке»;Пенал для карандашей и ручек от Henry Cats;"Возьму с собой:косметички;Рабочее место:ручки и карандаши;Хочу для дома:туалет";363;0;Рубли;0;1;1;шт.;;;Друзья;;День в парке;;"1300_1.jpg;1300_2.jpg;1300_3.jpg";Henry Cats and Friends;;;;;SPO1-59;Возьму с собой:;косметички;Рабочее место:;ручки и карандаши;Хочу для дома:;туалет;2;9.3;5.58;4.71531E+12;W 22.8 x  H 10.5cm
#1341;Коврик для мышки кролик Роби;Коврик для мышки в форме кошки - любимого персонажа Henry Cats and friends;Рабочее место:мышь-ковры;174;0;Рубли;0;5;1;шт.;Мальчики;Козерог;Друзья;;;Кролик Роби;"1341_1.jpg;1341_2.jpg;1341_3.jpg";Henry Cats and Friends;;;;;SMP-RA001;Рабочее место:;мышь-ковры;;;;;0.96;4.464;2.68;4.71218E+12;W 17.1 x L 21 cm
#1342;Коврик для мышки крольчиха Руби;Коврик для мышки в форме кошки - любимого персонажа Henry Cats and friends;Рабочее место:мышь-ковры;174;0;Рубли;0;5;1;шт.;Девочки;Рак;Друзья;;;Кольчиха Руби;"1342_1.jpg;1342_2.jpg;1342_3.jpg";Henry Cats and Friends;;;;;SMP-RA002;Рабочее место:;мышь-ковры;;;;;0.96;4.464;2.68;4.71531E+12;W 23.4 x L 16.4 cm
#1354;Чехол S с короткой ручкой и тесьмой Белла;Чехол-сумочка для мобильного, фотоаппара, документов в форме кошки. Можно носить на шее.;Возьму с собой:чехлы для гаджетов;907;0;Рубли;0;0;1;шт.;Девочки;Водолей;Котики;;;Кошка Белла;"1354_1.jpg;1354_2.jpg;1354_3.jpg";Henry Cats and Friends;;;;;FSC-CA011;Возьму с собой:;чехлы для гаджетов;;;;;3;13.95;13.95;4.71218E+12;"Pouch: W11.0 X 14.0cm
Ribbon Strap 106cm
Synthetic Handle 32cm"
#1355;Чехол для мобильного с ручкой Джимми;Чехол-сумочка для мобильного, фотоаппара, документов в форме кошки. Можно носить на шее.;Возьму с собой:чехлы для гаджетов;907;0;Рубли;0;0;1;шт.;Мальчики;Близнецы;Котики;;;Котик Джимми;"1355_1.jpg;1355_2.jpg;1355_3.jpg";Henry Cats and Friends;;;;;FSC-CA020;Возьму с собой:;чехлы для гаджетов;;;;;3;13.95;13.95;4.71218E+12;"Pouch: W12.0 X 11.0cm
Ribbon Strap 106cm
Synthetic Handle 32cm"
#1356;Чехол S с короткой ручкой и тесьмой Флауэр;Чехол-сумочка для мобильного, фотоаппара, документов в форме кошки. Можно носить на шее.;Возьму с собой:чехлы для гаджетов;907;0;Рубли;0;5;1;шт.;Девочки;Скорпион;Котики;;;Кошечка Флауэр;"1356_1.jpg;1356_2.jpg;1356_3.jpg";Henry Cats and Friends;;;;;FSC-CA023;Возьму с собой:;чехлы для гаджетов;;;;;3;13.95;13.95;4.71531E+12;"W15xH11.8cm
Ribbon Strap 106cm
Synthetic Handle 32cm"
#1358;Чехол S с короткой ручкой и тесьмой Дора;Чехол-сумочка для мобильного, фотоаппара, документов в форме собачки. Можно носить на шее.;Возьму с собой:чехлы для гаджетов;907;0;Рубли;0;0;1;шт.;Девочки;Стрелец;Собачки;;;Йорик Дора;"1358_1.jpg;1358_2.jpg;1358_3.jpg";Henry Cats and Friends;;;;;FSC-DO018;Возьму с собой:;чехлы для гаджетов;;;;;3;13.95;13.95;4.71531E+12;"W11.8XH15.2cm
Ribbon Strap 106cm
Synthetic Handle 32cm"
#1359;Чехол S с короткой ручкой и тесьмой Роби;Чехол-сумочка для мобильного, фотоаппара, документов в форме кролика. Можно носить на шее.;"Возьму с собой:чехлы для гаджетов;Возьму с собой:аксессуары для телефонов";454;0;Рубли;0;5;1;шт.;Мальчики;Козерог;Друзья;;;Кролик Роби;"1359_1.jpg;1359_2.jpg;1359_3.jpg";Henry Cats and Friends;;;;;FSC-RA001;Возьму с собой:;чехлы для гаджетов;Возьму с собой:;аксессуары для телефонов;;;3;13.95;6.98;4.71531E+12;"Pouch:  W14 x H17 (cm)
Ribbon Strap 106cm
Synthetic Handle 32cm"
#1360;Чехол S с короткой ручкой и тесьмой Руби;Чехол-сумочка для мобильного, фотоаппара, документов в форме кролика. Можно носить на шее.;"Возьму с собой:чехлы для гаджетов;Возьму с собой:аксессуары для телефонов";454;0;Рубли;0;5;1;шт.;Девочки;Рак;Друзья;;;Кольчиха Руби;"1360_1.jpg;1360_2.jpg;1360_3.jpg";Henry Cats and Friends;;;;;FSC-RA002;Возьму с собой:;чехлы для гаджетов;Возьму с собой:;аксессуары для телефонов;;;3;13.95;6.98;4.71531E+12;"Pouch:  W14.7 X H10.6 (cm)
Ribbon Strap 106cm
Synthetic Handle 32cm"
#1361;Чехол L с короткой ручкой и тесьмой Оливия;Чехол сумочка для мобильного, фотоаппара, документов в форме кошки. Можно носить на шее.;Возьму с собой:чехлы для гаджетов;967;0;Рубли;0;4;1;шт.;Девочки;Водолей;Котики;;;Кошка Оливия;"1361_1.jpg;1361_2.jpg;1361_3.jpg";Henry Cats and Friends;;;;;FSC1-CA015;Возьму с собой:;чехлы для гаджетов;;;;;3.2;14.88;14.88;4.71531E+12;"W17.5XH12.8cm
Ribbon Strap 106cm
Synthetic Handle 32cm"
#1362;Чехол L с короткой ручкой и тесьмой Мелоди;Чехол сумочка для мобильного, фотоаппара, документов в форме кошки. Можно носить на шее.;Возьму с собой:чехлы для гаджетов;967;0;Рубли;0;5;1;шт.;Девочки;Телец;Котики;;;Кошка Мелоди;"1362_1.jpg;1362_2.jpg;1362_3.jpg";Henry Cats and Friends;;;;;FSC1-CA024;Возьму с собой:;чехлы для гаджетов;;;;;3.2;14.88;14.88;4.71531E+12;"W17.3XH12.8cm
Ribbon Strap 106cm
Synthetic Handle 32cm"
#1363;Чехол L с короткой ручкой и тесьмой Шаша;Чехол сумочка для мобильного, фотоаппара, документов в форме кошки. Можно носить на шее.;Возьму с собой:чехлы для гаджетов;967;0;Рубли;0;0;1;шт.;Девочки;Стрелец;Котики;;;Киска Шаша;"1363_1.jpg;1363_2.jpg;1363_3.jpg";Henry Cats and Friends;;;;;FSC1-CA025;Возьму с собой:;чехлы для гаджетов;;;;;3.2;14.88;14.88;4.71531E+12;"13cm  X 18cm
Ribbon Strap 106cm
Synthetic Handle 32cm"
#1364;Чехол L с короткой ручкой и тесьмой Денни;Чехол сумочка для мобильного, фотоаппара, документов в форме собачки. Можно носить на шее.;Возьму с собой:чехлы для гаджетов;967;0;Рубли;0;0;1;шт.;Мальчики;Близнецы;Собачки;;;Щенок Денни;"1364_1.jpg;1364_2.jpg;1364_3.jpg";Henry Cats and Friends;;;;;FSC1-DO006;Возьму с собой:;чехлы для гаджетов;;;;;3.2;14.88;14.88;4.71531E+12;"13cm  X 18cm
Ribbon Strap 106cm
Synthetic Handle 32cm"
#1368;Чехол-«флип» для iPhone4 с кошками «Цветы вишни»;Чехол-«флип» для iPhone4 с кисками из искусственной кожи в коробке-блистере.;"Возьму с собой:чехлы для гаджетов;Возьму с собой:аксессуары для телефонов";907;0;Рубли;0;4;1;шт.;;;Котики;;Цветы вишни;;"1368_1.jpg;1368_2.jpg;1368_3.jpg";Henry Cats and Friends;;;;;SIC1-48;Возьму с собой:;чехлы для гаджетов;Возьму с собой:;аксессуары для телефонов;;;5;23.25;13.95;4.71531E+12;12 x 6 x 1 cm
#1371;Подставка для мобильного, пульта д/у, ручек Миго;Подставка для мобильного, пульта д/у, ручек котёнок Миго. Можно использовать как пресс-папье.;Рабочее место:подставки для...;411;0;Рубли;0;0;1;шт.;Мальчики;Близнецы;Котики;;;Котик Миго;"1371_1.jpg;1371_2.jpg;1371_3.jpg";Henry Cats and Friends;;;;;HCH-CA008;Рабочее место:;подставки для...;;;;;3.4;15.81;6.32;4.71218E+12;W 18 x H 11.5cm
#1374;Подставка для мобильного, пульта д/у, ручек Шерри;Подставка для мобильного, пульта д/у, ручек киска Шерри. Можно использовать как пресс-папье.;Рабочее место:подставки для...;411;0;Рубли;0;0;1;шт.;Девочки;Рак;Котики;;;Кошка Шерри;"1374_1.jpg;1374_2.jpg;1374_3.jpg";Henry Cats and Friends;;;;;HCH-CA021;Рабочее место:;подставки для...;;;;;3.4;15.81;6.32;4.71218E+12;#Н/Д
#1376;Подставка для мобильного, пульта д/у, ручек Сэм;Подставка для мобильного, пульта д/у, ручек щенок Сэм. Можно использовать как пресс-папье.;Рабочее место:подставки для...;411;0;Рубли;0;0;1;шт.;Мальчики;Лев;Собачки;;;Пёсик Сэм;"1376_1.jpg;1376_2.jpg;1376_3.jpg";Henry Cats and Friends;;;;;HCH-DO004;Рабочее место:;подставки для...;;;;;3.4;15.81;6.32;4.71218E+12;w15.5xH10.5cm
#1379;Подставка для мобильного, пульта д/у, ручек Руби;Подставка для мобильного, пульта д/у, ручек крольчёнок Руби. Можно использовать как пресс-папье.;Рабочее место:подставки для...;411;0;Рубли;0;5;1;шт.;Девочки;Рак;Друзья;;;Кольчиха Руби;"1379_1.jpg;1379_2.jpg;1379_3.jpg";Henry Cats and Friends;;;;;HCH-RA002;Рабочее место:;подставки для...;;;;;3.4;15.81;6.32;4.71531E+12;17.5 X 10.5cm
#1383;Зеркальце «Кошки в клетках» с чехлом;Зеркальце с кошками карманное никелированное. Мягкий фланелевый чехол в подарок.;"Возьму с собой:в сумку или сумочку;Возьму с собой:в дорогу и в авто";713;0;Рубли;0;2;1;шт.;;;Котики;;Кошки в клетках;;"1383_1.jpg;1383_2.jpg;1383_3.jpg";Henry Cats and Friends;;;;;FPM1-41A;Возьму с собой:;в сумку или сумочку;Возьму с собой:;в дорогу и в авто;;;2.36;10.974;10.97;4.71531E+12;W6 X L6 X H 1cm
#1384;Зеркальце «Цветы вишни» с чехлом;Зеркальце с кисками карманное никелированное. Мягкий фланелевый чехол в подарок.;"Возьму с собой:в сумку или сумочку;Возьму с собой:в дорогу и в авто";713;0;Рубли;0;5;1;шт.;;;Котики;;Цветы вишни;;"1384_1.jpg;1384_2.jpg;1384_3.jpg";Henry Cats and Friends;;;;;FPM1-48;Возьму с собой:;в сумку или сумочку;Возьму с собой:;в дорогу и в авто;;;2.36;10.974;10.97;4.71531E+12;W6 X L6 X H 1cm
#1385;Зеркальце Белла («На цветочном ложе») с чехлом;Зеркальце кошкой карманное никелированное. Мягкий фланелевый чехол в подарок.;"Возьму с собой:в сумку или сумочку;Возьму с собой:в дорогу и в авто";713;0;Рубли;0;3;1;шт.;;;Котики;;На цветочном ложе;;"1385_1.jpg;1385_2.jpg;1385_3.jpg";Henry Cats and Friends;;;;;FPM1-CA011;Возьму с собой:;в сумку или сумочку;Возьму с собой:;в дорогу и в авто;;;2.36;10.974;10.97;4.71531E+12;W6 X L6 X H 1cm
#1396;Несессер дорожный «Весеннее цветение»;Удобный и вместительный несессер для путешествий с любимыми кошечками.;"Возьму с собой:в дорогу и в авто;Хочу для дома:туалет";1330;0;Рубли;0;5;1;шт.;;;Котики;;Весеннее цветение;;"1396_1.jpg;1396_2.jpg;1396_3.jpg";Henry Cats and Friends;;;;;FCT2-31;Возьму с собой:;в дорогу и в авто;Хочу для дома:;туалет;;;4.4;20.46;20.46;4.71531E+12;"W24xH22cm(closed); W24xL62cm(Opened)

"
#1397;Несессер дорожный «Цветы вишни»;Удобный и вместительный несессер для путешествий с кисами.;"Возьму с собой:в дорогу и в авто;Хочу для дома:туалет";1330;0;Рубли;0;5;1;шт.;;;Котики;;Цветы вишни;;"1397_1.jpg;1397_2.jpg;1397_3.jpg";Henry Cats and Friends;;;;;FCT2-48;Возьму с собой:;в дорогу и в авто;Хочу для дома:;туалет;;;4.4;20.46;20.46;4.71531E+12;"W24xH22cm(closed); W24xL62cm(Opened)

"
#1398;Несессер дорожный «Кошки Генри»;Удобный и вместительный несессер для путешествий с кошками.;"Возьму с собой:в дорогу и в авто;Хочу для дома:туалет";1330;0;Рубли;0;5;1;шт.;;;Котики;;Кошки Генри;;"1398_1.jpg;1398_2.jpg;1398_3.jpg";Henry Cats and Friends;;;;;FCT2-8A;Возьму с собой:;в дорогу и в авто;Хочу для дома:;туалет;;;4.4;20.46;20.46;4.71531E+12;"W24xH22cm(closed); W24xL62cm(Opened)

"
#1400;Косметичка «Весеннее цветение» S;Оригинальная косметичка с кисами женская из высококачественного кожзама.;"Возьму с собой:косметички;Хочу для дома:туалет";771;0;Рубли;0;5;1;шт.;;;Друзья;;Весеннее цветение;;"1400_1.jpg;1400_2.jpg;1400_3.jpg";Henry Cats and Friends;;;;;FMP2-31A;Возьму с собой:;косметички;Хочу для дома:;туалет;;;2.55;11.8575;11.86;4.71531E+12;W 17.5(top) x 12.0(bottom) x H10.5 x D 4.5cm
#1410;Косметичка-пенал «Весёлый шоппинг»;Косметичка с собачками. Возможно использовать как пенал для ручек и карандашей.;"Возьму с собой:косметички;Рабочее место:ручки и карандаши;Хочу для дома:туалет";571;0;Рубли;0;0;1;шт.;;;Собачки;;Веселый шоппинг;;"1410_1.jpg;1410_2.jpg;1410_3.jpg";Henry Cats and Friends;;;;;SPO4-25;Возьму с собой:;косметички;Рабочее место:;ручки и карандаши;Хочу для дома:;туалет;2.36;10.974;8.78;4.71218E+12;W 19 x H 14cm
#1411;Косметичка-пенал «Весеннее цветение»;Косметичка с котятами. Возможно использовать как пенал для ручек и карандашей.;"Возьму с собой:косметички;Рабочее место:ручки и карандаши;Хочу для дома:туалет";571;0;Рубли;0;3;1;шт.;;;Котики;;Весеннее цветение;;"1411_1.jpg;1411_2.jpg;1411_3.jpg";Henry Cats and Friends;;;;;SPO4-31;Возьму с собой:;косметички;Рабочее место:;ручки и карандаши;Хочу для дома:;туалет;2.36;10.974;8.78;4.71531E+12;W 19 x H 14cm
#1416;Косметичка пенал «Кошки Генри»;Косметичка с любимыми кисами Henry Cats. Возможно использовать как пенал для ручек и карандашей.;"Возьму с собой:косметички;Рабочее место:ручки и карандаши;Хочу для дома:туалет";571;0;Рубли;0;3;1;шт.;;;Котики;;Кошки Генри;;"1416_1.jpg;1416_2.jpg;1416_3.jpg";Henry Cats and Friends;;;;;SPO4-8A;Возьму с собой:;косметички;Рабочее место:;ручки и карандаши;Хочу для дома:;туалет;2.36;10.974;8.78;4.71531E+12;W 19 x H 14cm
#1421;Кошелек кот Тайгер;Кошелёк с молнией для мелочи и мелочевки кот Тайгер;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;0;1;шт.;Мальчики;Весы;Котики;;;Котенок Тайгер;"1421_1.jpg;1421_2.jpg;1421_3.jpg";Henry Cats and Friends;;;;;FCP-CA001;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71531E+12;W12*H8cm
#1422;Кошелек кошка Лейди;Кошелёк с молнией для мелочи и мелочевки кошка Лейди;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;0;1;шт.;Девочки;Рак;Котики;;;Кошка Лейди;"1422_1.jpg;1422_2.jpg;1422_3.jpg";Henry Cats and Friends;;;;;FCP-CA005;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71218E+12;W 11 x H 8cm
#1425;Кошелек кошка Белла;Кошелёк с молнией для мелочи и мелочевки кошка Белла;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;0;1;шт.;Девочки;Водолей;Котики;;;Кошка Белла;"1425_1.jpg;1425_2.jpg;1425_3.jpg";Henry Cats and Friends;;;;;FCP-CA011;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71218E+12;W 8 x H 11cm
#1426;Кошелек кот Брэнди;Кошелёк с молнией для мелочи и мелочевки кот Брэнди;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;3;1;шт.;Мальчики;Весы;Котики;;;Кот Брэнди;"1426_1.jpg;1426_2.jpg;1426_3.jpg";Henry Cats and Friends;;;;;FCP-CA019;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71218E+12;W 11 x H 8cm
#1427;Кошелек котенок Джимми;Кошелёк с молнией для мелочи и мелочевки котенок Джимми;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;0;1;шт.;Мальчики;Близнецы;Котики;;;Котик Джимми;"1427_1.jpg;1427_2.jpg;1427_3.jpg";Henry Cats and Friends;;;;;FCP-CA020;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71218E+12;W 11 x H 8cm
#1432;Кошелек щенок Cэм;Кошелёк с молнией для мелочи и мелочевки с собачкой;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;3;1;шт.;Мальчики;Лев;Собачки;;;Пёсик Сэм;"1432_1.jpg;1432_2.jpg;1432_3.jpg";Henry Cats and Friends;;;;;FCP-DO004;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71218E+12;W 11 x H 7.5cm
#1433;Кошелек щенок Денни;Кошелёк с молнией для мелочи и мелочевки с собачкой;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;0;1;шт.;Мальчики;Близнецы;Собачки;;;Щенок Денни;"1433_1.jpg;1433_2.jpg;1433_3.jpg";Henry Cats and Friends;;;;;FCP-DO006;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71218E+12;W 8 x H 11cm
#1434;Кошелек собачка Фефе;Кошелёк с молнией для мелочи и мелочевки с собачкой;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;5;1;шт.;Девочки;Овен;Собачки;;;Собачка Фефе;"1434_1.jpg;1434_2.jpg;1434_3.jpg";Henry Cats and Friends;;;;;FCP-DO009;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71218E+12;W 7.5 x H 11.3cm
#1435;Кошелек щенок Зак;Кошелёк с молнией для мелочи и мелочевки с собачкой;"Возьму с собой:кошельки и портмоне;Возьму с собой:в сумку или сумочку";363;0;Рубли;0;5;1;шт.;Мальчики;Скорпион;Собачки;;;Щенок Зак;"1435_1.jpg;1435_2.jpg;1435_3.jpg";Henry Cats and Friends;;;;;FCP-DO010;Возьму с собой:;кошельки и портмоне;Возьму с собой:;в сумку или сумочку;;;1.2;5.58;5.58;4.71218E+12;W 11.3 x H 7cm
#1438;Кошелек собачка Коко;Кошелёк с молнией для мелочи и мелочевки собачка Коко;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;0;1;шт.;Девочки;Рыбы;Собачки;;;Такса Коко;"1438_1.jpg;1438_2.jpg;1438_3.jpg";Henry Cats and Friends;;;;;FCP-DO015;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71531E+12;10.7 x 7.4cm
#1439;Кошелек собачка Лори;Кошелёк с молнией для мелочи и мелочевки кот Брэнди;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;0;1;шт.;Девочки;Водолей;Собачки;;;Такса Коко;"1439_1.jpg;1439_2.jpg;1439_3.jpg";Henry Cats and Friends;;;;;FCP-DO016;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71218E+12;W 11.5 x H 8.5cm
#1440;Кошелек кролик Роби;Кошелёк с молнией для мелочи и мелочевки кролик;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;5;1;шт.;Мальчики;Козерог;Друзья;;;Кролик Роби;"1440_1.jpg;1440_2.jpg;1440_3.jpg";Henry Cats and Friends;;;;;FCP-RA001;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71218E+12;9.2 x 11 cm
#1441;Кошелек крольчиха Руби;Кошелёк с молнией для мелочи и мелочевки крольчиха;Возьму с собой:кошельки и портмоне;363;0;Рубли;0;5;1;шт.;Девочки;Рак;Друзья;;;Кольчиха Руби;"1441_1.jpg;1441_2.jpg;1441_3.jpg";Henry Cats and Friends;;;;;FCP-RA002;Возьму с собой:;кошельки и портмоне;;;;;1.2;5.58;5.58;4.71531E+12; 10.6 x 7.7 cm
#1456;Кошелек формовой «На балконе»;Кошелек с кисами женский для мелочи с защелкой.;Возьму с собой:кошельки и портмоне;967;0;Рубли;0;3;1;шт.;;;Котики;;На балконе;;"1456_1.jpg;1456_2.jpg;1456_3.jpg";Henry Cats and Friends;;;;;FCP2A-34;Возьму с собой:;кошельки и портмоне;;;;;3.2;14.88;14.88;4.71531E+12;L 11.5 x H 9 x D 4.5cm
#1458;Кошелек формовой «Кафе Генри»;Кошелек кошками женский для мелочи с защелкой.;Возьму с собой:кошельки и портмоне;967;0;Рубли;0;0;1;шт.;;;Котики;;Кафе Генри;;"1458_1.jpg;1458_2.jpg;1458_3.jpg";Henry Cats and Friends;;;;;FCP2A-54;Возьму с собой:;кошельки и портмоне;;;;;3.2;14.88;14.88;4.71531E+12;L 11.5 x H 9 x D 4.5cm
#1460;Кошелек на защелке «Киски в клетках»;Кошелек кошачьими мордашками женский квадратный с защелкой.;Возьму с собой:кошельки и портмоне;907;0;Рубли;0;3;1;шт.;;;Котики;;Кошки в клетках;;"1460_1.jpg;1460_2.jpg;1460_3.jpg";Henry Cats and Friends;;;;;FCP3A-41A;Возьму с собой:;кошельки и портмоне;;;;;3;13.95;13.95;4.71218E+12;L 10.5 x H 8 x D 3cm
#1464;Кошелек квадратный «Весеннее цветение»;Кошелек с кошечками женский квадратный на молнии.;Возьму с собой:кошельки и портмоне;580;0;Рубли;0;0;1;шт.;;;Котики;;Весеннее цветение;;"1464_1.jpg;1464_2.jpg;1464_3.jpg";Henry Cats and Friends;;;;;FCP4-31A;Возьму с собой:;кошельки и портмоне;;;;;2.4;11.16;8.93;4.71531E+12;7.0 X 7.0cm
#1465;Кошелек квадратный «Кошки в клетках»;Кошелек с кисами женский квадратный на молнии.;Возьму с собой:кошельки и портмоне;580;0;Рубли;0;3;1;шт.;;;Котики;;Кошки в клетках;;"1465_1.jpg;1465_2.jpg;1465_3.jpg";Henry Cats and Friends;;;;;FCP4-41;Возьму с собой:;кошельки и портмоне;;;;;2.4;11.16;8.93;4.71531E+12;7.0 X 7.0cm
#1469;Портмоне-конверт «Весеннее цветение»;Большое женское портмоне 5-ти секционное, с отделениями для визиток.;Возьму с собой:кошельки и портмоне;1838;0;Рубли;0;5;1;шт.;;;Котики;;Весеннее цветение;;"1469_1.jpg;1469_2.jpg;1469_3.jpg";Henry Cats and Friends;;;;;FEW1-31;Возьму с собой:;кошельки и портмоне;;;;;7.6;35.34;28.27;4.71218E+12;20* 10.5cm* 2.5(cm)
#1470;Портмоне-конверт «Кошки в клетках»;Большое женское портмоне 5-ти секционное, с отделениями для визиток.;Возьму с собой:кошельки и портмоне;1838;0;Рубли;0;5;1;шт.;;;Котики;;Кошки в клетках;;"1470_1.jpg;1470_2.jpg;1470_3.jpg";Henry Cats and Friends;;;;;FEW1-41A;Возьму с собой:;кошельки и портмоне;;;;;7.6;35.34;28.27;4.71218E+12;20* 10.5cm* 2.5(cm)
#1471;Портмоне-конверт «Цветы вишни»;Большое женское портмоне 5-ти секционное, с отделениями для визиток.;Возьму с собой:кошельки и портмоне;1838;0;Рубли;0;0;1;шт.;;;Котики;;Цветы вишни;;"1471_1.jpg;1471_2.jpg;1471_3.jpg";Henry Cats and Friends;;;;;FEW1-48;Возьму с собой:;кошельки и портмоне;;;;;7.6;35.34;28.27;4.71218E+12;"20* 10.5cm* 2.5(cm)
"
#1473;Портмоне с молнией «Кошки Генри»;Портмоне женское на молнии 4-х секционное, с отделениями для визиток.;Возьму с собой:кошельки и портмоне;1645;0;Рубли;0;5;1;шт.;;;Котики;;Кошки Генри;;"1473_1.jpg;1473_2.jpg;1473_3.jpg";Henry Cats and Friends;;;;;FTW2-8A;Возьму с собой:;кошельки и портмоне;;;;;6.8;31.62;25.3;4.71531E+12;" W 20.5 x H 11 cm (opened)
 W 10 x H 11 cm (closed)"
#1474;Портмоне на застежке «Весеннее цветение»;Портмоне женское на застежке 4-х секционное, с отделениями для визиток.;Возьму с собой:кошельки и портмоне;1645;0;Рубли;0;5;1;шт.;;;Котики;;Весеннее цветение;;"1474_1.jpg;1474_2.jpg;1474_3.jpg";Henry Cats and Friends;;;;;FTW3-31A;Возьму с собой:;кошельки и портмоне;;;;;6.8;31.62;25.3;4.71531E+12;" W 19.5 x H 11 cm (opened)
 W 10 x H 11 cm (closed)"
#1477;Кошелек-брелок котёнок Симба;Кошелечек для мелочи на защелке с карабином для ключей в виде котёнка.;"Henry Cats деткам;Возьму с собой:кошельки и портмоне;Возьму с собой:в сумку или сумочку";308;0;Рубли;0;0;1;шт.;Мальчики;Овен;Котики;;;Котенок Симба;"1477_1.jpg;1477_2.jpg;1477_3.jpg";Le Petit Henry;;;;;QKP1-CA002;Henry Cats деткам;;Возьму с собой:;кошельки и портмоне;Возьму с собой:;в сумку или сумочку;1.7;7.905;4.74;4.71531E+12;"Pouch size: 7.0 x 5.5cm
chain: 8.8L(cm)"
#1479;Кошелек-брелок кошечка Белла;Кошелечек для мелочи на защелке с карабином для ключей в виде кошечки.;"Henry Cats деткам;Возьму с собой:кошельки и портмоне;Возьму с собой:в сумку или сумочку";308;0;Рубли;0;0;1;шт.;Девочки;Водолей;Котики;;;Кошка Белла;"1479_1.jpg;1479_2.jpg;1479_3.jpg";Le Petit Henry;;;;;QKP1-CA011;Henry Cats деткам;;Возьму с собой:;кошельки и портмоне;Возьму с собой:;в сумку или сумочку;1.7;7.905;4.74;4.71531E+12;"Pouch size: 7.0 x 6.5cm
chain: 8.8L(cm)"
#1481;Кошелек-брелок щенок Бен;Кошелечек для мелочи на защелке с карабином для ключей в виде щенка.;"Henry Cats деткам;Возьму с собой:кошельки и портмоне;Возьму с собой:в сумку или сумочку";308;0;Рубли;0;0;1;шт.;Мальчики;Водолей;Собачки;;;Хаски Бен;"1481_1.jpg;1481_2.jpg;1481_3.jpg";Le Petit Henry;;;;;QKP1-DO007;Henry Cats деткам;;Возьму с собой:;кошельки и портмоне;Возьму с собой:;в сумку или сумочку;1.7;7.905;4.74;4.71531E+12;"Pouch size: 7.0 x 6.5cm
chain: 8.8L(cm)"
#1483;Сумка женская  на молнии «Кошки Генри»;Сумка женская  на молнии «Кошки Генри»;Возьму с собой:сумки и сумочки;2781;0;Рубли;0;5;1;шт.;;;Котики;;Кошки Генри;;"1483_1.jpg;1483_2.jpg;1483_3.jpg";Henry Cats and Friends;;;;;FTB7A-8;Возьму с собой:;сумки и сумочки;;;;;11.5;53.475;42.78;4.71218E+12;"Bag: L 36 x D 14 x H 28cm
Handle: 54cm"
#1487;Сумка повседневная женская L с монетницей «Кошки Генри»;Удобная сумка с кошачьими мордашками для ежедневного использования. Кошелечек для мелочей в подарок.;Возьму с собой:сумки и сумочки;2055;0;Рубли;0;2;1;шт.;;;Котики;;Кошки Генри;;"1487_1.jpg;1487_2.jpg;1487_3.jpg";Henry Cats and Friends;;;;;FTB6-8;Возьму с собой:;сумки и сумочки;;;;;6.8;31.62;31.62;4.71218E+12;"Bag: L 34 x H 32 x W 9cm
Coin Purse: W 10 x H 8.5cm
Handle:53cm"
