Артикул;Наименование;Описание продукта;Категория;Цена;Акционная цена;Валюта;Акционный товар;На складе;В упаковке;Единица измерения;Гендер;Зодиак;Животинка;VIP тираж;Коллекция;Персонаж;Фотографии;Производитель;Страна;Родитель;Группа дочернего товара;Сопутствующие товары;SKU;КатегорияA;подкатА;КатегорияB;подкатВ;КатегорияС;подкатС;FOB;NEW_RTL_BASE;NEW_RTL_DISCOUNT;BARCODE;SPECS
#1022;Кот Март, Рыбы;Домашний короткошерстный ;Хочу для дома:хобби;1850;0;Рубли;0;5;1;шт.;Мальчики;Рыбы;Котики;;;Котёнок Март;"1022_1.jpg;1022_2.jpg;1022_3.jpg";Henry Cats and Friends;;;;;CGAS-CA018;Хочу для дома:;хобби;;;;;10.2;47.43;28.46;4.71218E+12;W 4.3 x H 5.5x D 2.9cm
#1023;Кот Брэнди, Весы;Домашний короткошерстный ;Хочу для дома:хобби;2086;0;Рубли;0;5;1;шт.;Мальчики;Весы;Котики;;;Кот Брэнди;"1023_1.jpg;1023_2.jpg;1023_3.jpg";Henry Cats and Friends;;;;;CGAS-CA019;Хочу для дома:;хобби;;;;;11.5;53.475;32.09;4.71218E+12;W 8.4x H 5.5x D 3.5cm
#1024;Кот Джимми, Близнецы;Домашний короткошерстный ;Хочу для дома:хобби;1905;0;Рубли;0;5;1;шт.;Мальчики;Близнецы;Котики;;;Котик Джимми;"1024_1.jpg;1024_2.jpg;1024_3.jpg";Henry Cats and Friends;;;;;CGAS-CA020;Хочу для дома:;хобби;;;;;10.5;48.825;29.3;4.71218E+12;W 5.8 x H 4.8 x D 3.4cm
#1025;Кошка Шерри, Рак;Домашний короткошерстный ;Хочу для дома:хобби;1614;0;Рубли;0;2;1;шт.;Девочки;Рак;Котики;;;Кошка Шерри;"1025_1.jpg;1025_2.jpg;1025_3.jpg";Henry Cats and Friends;;;;;CGAS-CA021;Хочу для дома:;хобби;;;;;8.9;41.385;24.83;4.71218E+12;W 5 x H 3.7 x D 2.1cm
#1026;Кошка Флауэр, Скорпион;Домашний короткошерстный ;Хочу для дома:хобби;1814;0;Рубли;0;5;1;шт.;Девочки;Скорпион;Котики;;;Кошечка Флауэр;"1026_1.jpg;1026_2.jpg;1026_3.jpg";Henry Cats and Friends;;;;;CGAS-CA023;Хочу для дома:;хобби;;;;;10;46.5;27.9;4.71218E+12;W 5.6 x H 4.3 x D 2.9cm
#1027;Кошка Мелоди, Телец;Домашний короткошерстный ;Хочу для дома:хобби;1723;0;Рубли;0;0;1;шт.;Девочки;Телец;Котики;;;Кошка Мелоди;"1027_1.jpg;1027_2.jpg;1027_3.jpg";Henry Cats and Friends;;;;;CGAS-CA024;Хочу для дома:;хобби;;;;;9.5;44.175;26.51;4.71218E+12;H 3.8 x W 5.4x D 2.4cm
#1028;Кошка Шаша, Стрелец;Сиамская ;Хочу для дома:хобби;1759;0;Рубли;0;5;1;шт.;Девочки;Стрелец;Котики;;;Киска Шаша;"1028_1.jpg;1028_2.jpg;1028_3.jpg";Henry Cats and Friends;;;;;CGAS-CA025;Хочу для дома:;хобби;;;;;9.7;45.105;27.06;4.71531E+12;W3.9 x H5.6 x D2.7(cm)
#1029;Кошка Клаудиа, Овен;Персидская ;Хочу для дома:хобби;2086;0;Рубли;0;3;1;шт.;Девочки;Овен;Котики;;;Кошка Клаудиа;"1029_1.jpg;1029_2.jpg;1029_3.jpg";Henry Cats and Friends;;;;;CGAS-CA026;Хочу для дома:;хобби;;;;;11.5;53.475;32.09;4.71531E+12;W7.8 x H5.0 x D3.4(cm)
#1030;Щенок Коди, Телец;Бернский Зенненхунд ;Хочу для дома:хобби;1995;0;Рубли;0;5;1;шт.;Мальчики;Телец;Собачки;;;Щенок Коди;"1030_1.jpg;1030_2.jpg;1030_3.jpg";Henry Cats and Friends;;;;;CGAS-DO001;Хочу для дома:;хобби;;;;;11;51.15;30.69;4.71218E+12;W 7.7 x H 5.9 x D 4.1cm
#1031;Щенок Сэм, Лев;Бигль ;Хочу для дома:хобби;1977;0;Рубли;0;5;1;шт.;Мальчики;Лев;Собачки;;;Пёсик Сэм;"1031_1.jpg;1031_2.jpg;1031_3.jpg";Henry Cats and Friends;;;;;CGAS-DO004;Хочу для дома:;хобби;;;;;10.9;50.685;30.41;4.71218E+12;W 7.9 x H 4.47x D 3.6cm
#1032;Щенок Денни, Близнецы;Голден Ретривер ;Хочу для дома:хобби;2122;0;Рубли;0;5;1;шт.;Мальчики;Близнецы;Собачки;;;Щенок Денни;"1032_1.jpg;1032_2.jpg;1032_3.jpg";Henry Cats and Friends;;;;;CGAS-DO006;Хочу для дома:;хобби;;;;;11.7;54.405;32.64;4.71218E+12;W 6.4x H 8.9 x D 3.8cm
#1033;Щенок Бен, Водолей;Сибирский хаски ;Хочу для дома:хобби;2086;0;Рубли;0;5;1;шт.;Мальчики;Водолей;Собачки;;;Хаски Бен;"1033_1.jpg;1033_2.jpg;1033_3.jpg";Henry Cats and Friends;;;;;CGAS-DO007;Хочу для дома:;хобби;;;;;11.5;53.475;32.09;4.71218E+12;W 6.4 x H 8.1 x D 3.8cm
#1034;Щенок Чарльз, Дева;Кавалер-кинг-чарлз-спаниель ;Хочу для дома:хобби;2031;0;Рубли;0;5;1;шт.;Мальчики;Дева;Собачки;;;Щенок Чарльз;"1034_1.jpg;1034_2.jpg;1034_3.jpg";Henry Cats and Friends;;;;;CGAS-DO008;Хочу для дома:;хобби;;;;;11.2;52.08;31.25;4.71218E+12;W 7.2 x H 5 x D 3.5cm
#1035;Собачка Фефе, Овен;Папильон ;Хочу для дома:хобби;2031;0;Рубли;0;5;1;шт.;Девочки;Овен;Собачки;;;Собачка Фефе;"1035_1.jpg;1035_2.jpg;1035_3.jpg";Henry Cats and Friends;;;;;CGAS-DO009;Хочу для дома:;хобби;;;;;11.2;52.08;31.25;4.71218E+12;W 5 x H 6.9 x D 3.7cm
#1036;Щенок Зак, Скорпион;Полукровка ;Хочу для дома:хобби;2086;0;Рубли;0;5;1;шт.;Мальчики;Скорпион;Собачки;;;Щенок Зак;"1036_1.jpg;1036_2.jpg;1036_3.jpg";Henry Cats and Friends;;;;;CGAS-DO010;Хочу для дома:;хобби;;;;;11.5;53.475;32.09;4.71218E+12;W 8.9x H 5.2x D 4cm
#1037;Собачка Ласа, Весы;Чихуахуа ;Хочу для дома:хобби;1723;0;Рубли;0;4;1;шт.;Девочки;Весы;Собачки;;;Собачка Ласа;"1037_1.jpg;1037_2.jpg;1037_3.jpg";Henry Cats and Friends;;;;;CGAS-DO013;Хочу для дома:;хобби;;;;;9.5;44.175;26.51;4.71218E+12;W 5.4 x H 3.8 x D 2.4cm
